Interval (months),Age (completed months),MALE Weight Increment (grams),FEMALE Weight Increment (grams)
1,1,805,697
1,2,992,829
2,2,1890,1604
1,3,658,571
2,3,1701,1450
3,3,2608,2247
1,4,476,448
2,4,1202,1088
3,4,2214,1941
4,4,3204,2806
1,5,383,355
2,5,930,874
3,5,1702,1545
4,5,2706,2379
1,6,287,271
2,6,738,695
3,6,1307,1229
4,6,2038,1883
6,6,4072,3620
1,7,223,214
2,7,585,560
3,7,1038,995
4,7,1602,1522
6,7,3406,3033
1,8,181,178
2,8,486,469
3,8,859,825
4,8,1312,1248
6,8,2662,2480
1,9,148,139
2,9,417,399
3,9,733,697
4,9,1097,1042
6,9,2141,2030
1,10,120,110
2,10,360,336
3,10,639,598
4,10,945,891
6,10,1789,1692
1,11,100,95
2,11,315,297
3,11,567,528
4,11,832,785
6,11,1524,1446
1,12,91,88
2,12,286,274
3,12,509,481
4,12,757,712
6,12,1346,1271
2,13,260,254
3,13,465,451
4,13,700,659
6,13,1212,1147
2,14,236,238
3,14,430,429
4,14,648,624
6,14,1106,1063
2,15,212,227
3,15,404,413
4,15,598,601
6,15,1024,1009
2,16,197,220
3,16,385,403
4,16,564,586
6,16,970,975
2,17,193,216
3,17,372,397
4,17,550,578
6,17,937,956
2,18,192,212
3,18,362,392
4,18,543,572
6,18,914,942
2,19,188,205
3,19,355,385
4,19,537,565
6,19,898,931
2,20,182,196
3,20,351,376
4,20,529,556
6,20,887,920
2,21,176,188
3,21,347,366
4,21,519,546
6,21,880,908
2,22,171,178
3,22,342,354
4,22,508,532
6,22,872,894
2,23,167,164
3,23,334,340
4,23,501,517
6,23,863,876
2,24,164,150
3,24,322,326
4,24,497,503
6,24,855,857